imdbId,titleType,Year
0303961,movie,2010
0304681,movie,2013
0305811,movie,2015
0306058,movie,2012
0308078,movie,2016
0309228,tvSeries,2014
0311448,movie,2011
0312305,movie,2010
0313087,tvSeries,2020
0315642,movie,2016
0323808,movie,2011
0326592,movie,2010
0326965,movie,2010
0329539,movie,2014
0330987,movie,2014
0331312,movie,2010
0331314,movie,2017
0333897,movie,2019
0335630,tvSeries,2012
0337692,movie,2012
0337882,movie,2010
0337926,movie,2016
0339736,movie,2017
0339917,movie,2011
0343295,tvSeries,2011
0344644,tvSeries,2014
0346045,movie,2015
0354331,tvSeries,2013
0355131,tvSeries,2013
0359950,movie,2013
0360556,movie,2018
0364201,movie,2016
0365545,movie,2018
0365907,movie,2014
0367441,tvSeries,2017
0369168,tvSeries,2013
0369610,movie,2015
0370080,movie,2017
0372538,movie,2011
0374781,movie,2014
0376136,movie,2011
0376441,tvSeries,2013
0376479,movie,2016
0377981,movie,2011
0380870,tvSeries,2018
0383010,movie,2012
0383158,tvSeries,2015
0385887,movie,2019
0387112,movie,2011
0389717,movie,2015
0392988,tvSeries,2017
0393049,movie,2010
0396123,movie,2010
0397000,tvSeries,2013
0398286,movie,2010
0400059,tvSeries,2015
